time,driver,drivernumber,laptime,lapnumber,stint,pitouttime,pitintime,sector1time,sector2time,sector3time,sector1sessiontime,sector2sessiontime,sector3sessiontime,speedi1,speedi2,speedfl,speedst,ispersonalbest,compound,tyrelife,freshtyre,team,lapstarttime,lapstartdate,trackstatus,position,deleted,deletedreason,fastf1generated,isaccurate,lapstartdate_dt,time_s,time_td,laptime_s,laptime_td,pitouttime_s,pitouttime_td,pitintime_s,pitintime_td,sector1time_s,sector1time_td,sector2time_s,sector2time_td,sector3time_s,sector3time_td,sector1sessiontime_s,sector1sessiontime_td,sector2sessiontime_s,sector2sessiontime_td,sector3sessiontime_s,sector3sessiontime_td,lapstarttime_s,lapstarttime_td,pit_in_td,pit_out_td,pit_duration_s,grand_prix
0 days 00:55:22.843000,PER,11,0 days 00:01:30.746000,8.0,4.0,nan,nan,0 days 00:00:28.964000,0 days 00:00:38.997000,0 days 00:00:22.785000,0 days 00:54:21.061000,0 days 00:55:00.058000,0 days 00:55:22.843000,240.0,270.0,288.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:53:52.097000,2023-03-04 15:38:53.094,1,,False,nan,False,True,2023-03-04 15:38:53.094,3322.843,0 days 00:55:22.843000,90.746,0 days 00:01:30.746000,,,,,28.964,0 days 00:00:28.964000,38.997,0 days 00:00:38.997000,22.785,0 days 00:00:22.785000,3261.061,0 days 00:54:21.061000,3300.058,0 days 00:55:00.058000,3322.843,0 days 00:55:22.843000,3232.097,0 days 00:53:52.097000,,,,Bahrain GP 2023
0 days 00:57:30.112000,PER,11,0 days 00:02:07.269000,9.0,4.0,nan,0 days 00:57:28.332000,0 days 00:00:37.634000,0 days 00:00:56.338000,0 days 00:00:33.297000,0 days 00:56:00.477000,0 days 00:56:56.815000,0 days 00:57:30.112000,162.0,161.0,,218.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:55:22.843000,2023-03-04 15:40:23.840,1,,False,nan,False,False,2023-03-04 15:40:23.840,3450.112,0 days 00:57:30.112000,127.269,0 days 00:02:07.269000,,,3448.332,0 days 00:57:28.332000,37.634,0 days 00:00:37.634000,56.338,0 days 00:00:56.338000,33.297,0 days 00:00:33.297000,3360.477,0 days 00:56:00.477000,3416.815,0 days 00:56:56.815000,3450.112,0 days 00:57:30.112000,3322.843,0 days 00:55:22.843000,0 days 00:57:28.332000,,,Bahrain GP 2023
0 days 01:14:26.904000,PER,11,nan,10.0,5.0,0 days 01:12:31.878000,nan,nan,0 days 00:00:53.310000,0 days 00:00:27.172000,nan,0 days 01:13:59.736000,0 days 01:14:27.079000,210.0,187.0,290.0,159.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:57:30.112000,2023-03-04 15:42:31.109,1,,False,nan,False,False,2023-03-04 15:42:31.109,4466.904,0 days 01:14:26.904000,,,4351.878,0 days 01:12:31.878000,,,,,53.31,0 days 00:00:53.310000,27.172,0 days 00:00:27.172000,,,4439.736,0 days 01:13:59.736000,4467.079,0 days 01:14:27.079000,3450.112,0 days 00:57:30.112000,,0 days 01:12:31.878000,,Bahrain GP 2023
0 days 01:15:57.035000,PER,11,0 days 00:01:30.131000,11.0,5.0,nan,nan,0 days 00:00:28.846000,0 days 00:00:38.747000,0 days 00:00:22.538000,0 days 01:14:55.750000,0 days 01:15:34.497000,0 days 01:15:57.035000,241.0,270.0,289.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:26.904000,2023-03-04 15:59:27.901,1,,False,nan,False,True,2023-03-04 15:59:27.901,4557.035,0 days 01:15:57.035000,90.131,0 days 00:01:30.131000,,,,,28.846,0 days 00:00:28.846000,38.747,0 days 00:00:38.747000,22.538,0 days 00:00:22.538000,4495.75,0 days 01:14:55.750000,4534.497,0 days 01:15:34.497000,4557.035,0 days 01:15:57.035000,4466.904,0 days 01:14:26.904000,,,,Bahrain GP 2023
0 days 01:18:05.470000,PER,11,0 days 00:02:08.435000,12.0,5.0,nan,0 days 01:18:03.325000,0 days 00:00:39.052000,0 days 00:00:55.536000,0 days 00:00:33.847000,0 days 01:16:36.087000,0 days 01:17:31.623000,0 days 01:18:05.470000,162.0,168.0,,210.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:15:57.035000,2023-03-04 16:00:58.032,1,,False,nan,False,False,2023-03-04 16:00:58.032,4685.47,0 days 01:18:05.470000,128.435,0 days 00:02:08.435000,,,4683.325,0 days 01:18:03.325000,39.052,0 days 00:00:39.052000,55.536,0 days 00:00:55.536000,33.847,0 days 00:00:33.847000,4596.087,0 days 01:16:36.087000,4651.623,0 days 01:17:31.623000,4685.47,0 days 01:18:05.470000,4557.035,0 days 01:15:57.035000,0 days 01:18:03.325000,,,Bahrain GP 2023
0 days 01:22:30.897000,PER,11,nan,13.0,6.0,0 days 01:20:31.604000,nan,nan,0 days 00:00:56.069000,0 days 00:00:26.478000,nan,0 days 01:22:04.462000,0 days 01:22:31.117000,170.0,159.0,290.0,148.0,False,SOFT,1.0,False,Red Bull Racing,0 days 01:18:05.470000,2023-03-04 16:03:06.467,1,,False,nan,False,False,2023-03-04 16:03:06.467,4950.897,0 days 01:22:30.897000,,,4831.604,0 days 01:20:31.604000,,,,,56.069,0 days 00:00:56.069000,26.478,0 days 00:00:26.478000,,,4924.462,0 days 01:22:04.462000,4951.117,0 days 01:22:31.117000,4685.47,0 days 01:18:05.470000,,0 days 01:20:31.604000,,Bahrain GP 2023
0 days 01:24:00.743000,PER,11,0 days 00:01:29.846000,14.0,6.0,nan,nan,0 days 00:00:28.723000,0 days 00:00:38.537000,0 days 00:00:22.586000,0 days 01:22:59.620000,0 days 01:23:38.157000,0 days 01:24:00.743000,241.0,271.0,288.0,324.0,True,SOFT,2.0,False,Red Bull Racing,0 days 01:22:30.897000,2023-03-04 16:07:31.894,1,,False,nan,False,True,2023-03-04 16:07:31.894,5040.743,0 days 01:24:00.743000,89.846,0 days 00:01:29.846000,,,,,28.723,0 days 00:00:28.723000,38.537,0 days 00:00:38.537000,22.586,0 days 00:00:22.586000,4979.62,0 days 01:22:59.620000,5018.157,0 days 01:23:38.157000,5040.743,0 days 01:24:00.743000,4950.897,0 days 01:22:30.897000,,,,Bahrain GP 2023
0 days 01:26:07.588000,PER,11,0 days 00:02:06.845000,15.0,6.0,nan,0 days 01:26:03.817000,0 days 00:00:37.691000,0 days 00:00:51.586000,0 days 00:00:37.568000,0 days 01:24:38.434000,0 days 01:25:30.020000,0 days 01:26:07.588000,181.0,170.0,,188.0,False,SOFT,3.0,False,Red Bull Racing,0 days 01:24:00.743000,2023-03-04 16:09:01.740,1,,False,nan,False,False,2023-03-04 16:09:01.740,5167.588,0 days 01:26:07.588000,126.845,0 days 00:02:06.845000,,,5163.817,0 days 01:26:03.817000,37.691,0 days 00:00:37.691000,51.586,0 days 00:00:51.586000,37.568,0 days 00:00:37.568000,5078.434,0 days 01:24:38.434000,5130.02,0 days 01:25:30.020000,5167.588,0 days 01:26:07.588000,5040.743,0 days 01:24:00.743000,0 days 01:26:03.817000,,,Bahrain GP 2023
0 days 00:17:23.329000,LEC,16,nan,1.0,1.0,0 days 00:15:31.596000,nan,nan,0 days 00:00:49.509000,0 days 00:00:26.893000,nan,0 days 00:16:56.454000,0 days 00:17:23.376000,208.0,223.0,288.0,189.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:15:31.596000,2023-03-04 15:00:32.593,1,,False,nan,False,False,2023-03-04 15:00:32.593,1043.329,0 days 00:17:23.329000,,,931.596,0 days 00:15:31.596000,,,,,49.509,0 days 00:00:49.509000,26.893,0 days 00:00:26.893000,,,1016.454,0 days 00:16:56.454000,1043.376,0 days 00:17:23.376000,931.596,0 days 00:15:31.596000,,0 days 00:15:31.596000,,Bahrain GP 2023
0 days 00:19:34.783000,LEC,16,0 days 00:02:11.454000,2.0,1.0,nan,nan,0 days 00:00:40.852000,0 days 00:01:02.365000,0 days 00:00:28.237000,0 days 00:18:04.181000,0 days 00:19:06.546000,0 days 00:19:34.783000,172.0,167.0,287.0,323.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:17:23.329000,2023-03-04 15:02:24.326,1,,False,nan,False,True,2023-03-04 15:02:24.326,1174.783,0 days 00:19:34.783000,131.454,0 days 00:02:11.454000,,,,,40.852,0 days 00:00:40.852000,62.365,0 days 00:01:02.365000,28.237,0 days 00:00:28.237000,1084.181,0 days 00:18:04.181000,1146.546,0 days 00:19:06.546000,1174.783,0 days 00:19:34.783000,1043.329,0 days 00:17:23.329000,,,,Bahrain GP 2023
