time,driver,drivernumber,laptime,lapnumber,stint,pitouttime,pitintime,sector1time,sector2time,sector3time,sector1sessiontime,sector2sessiontime,sector3sessiontime,speedi1,speedi2,speedfl,speedst,ispersonalbest,compound,tyrelife,freshtyre,team,lapstarttime,lapstartdate,trackstatus,position,deleted,deletedreason,fastf1generated,isaccurate,lapstartdate_dt,time_s,time_td,laptime_s,laptime_td,pitouttime_s,pitouttime_td,pitintime_s,pitintime_td,sector1time_s,sector1time_td,sector2time_s,sector2time_td,sector3time_s,sector3time_td,sector1sessiontime_s,sector1sessiontime_td,sector2sessiontime_s,sector2sessiontime_td,sector3sessiontime_s,sector3sessiontime_td,lapstarttime_s,lapstarttime_td,pit_in_td,pit_out_td,pit_duration_s,grand_prix
0 days 00:39:31.452000,ALO,14,nan,4.0,2.0,0 days 00:37:06.292000,nan,nan,0 days 00:00:51.738000,0 days 00:00:44.553000,nan,0 days 00:38:46.899000,0 days 00:39:31.633000,167.0,186.0,286.0,107.0,False,SOFT,4.0,False,Aston Martin,0 days 00:33:09.832000,2023-03-04 15:18:10.829,1,,False,nan,False,False,2023-03-04 15:18:10.829,2371.452,0 days 00:39:31.452000,,,2226.292,0 days 00:37:06.292000,,,,,51.738,0 days 00:00:51.738000,44.553,0 days 00:00:44.553000,,,2326.899,0 days 00:38:46.899000,2371.633,0 days 00:39:31.633000,1989.832,0 days 00:33:09.832000,,0 days 00:37:06.292000,,Bahrain GP 2023
0 days 00:41:02.680000,ALO,14,0 days 00:01:31.228000,5.0,2.0,nan,nan,0 days 00:00:29.127000,0 days 00:00:39.239000,0 days 00:00:22.862000,0 days 00:40:00.579000,0 days 00:40:39.818000,0 days 00:41:02.680000,240.0,268.0,285.0,317.0,False,SOFT,5.0,False,Aston Martin,0 days 00:39:31.452000,2023-03-04 15:24:32.449,1,,False,nan,False,True,2023-03-04 15:24:32.449,2462.68,0 days 00:41:02.680000,91.228,0 days 00:01:31.228000,,,,,29.127,0 days 00:00:29.127000,39.239,0 days 00:00:39.239000,22.862,0 days 00:00:22.862000,2400.579,0 days 00:40:00.579000,2439.818,0 days 00:40:39.818000,2462.68,0 days 00:41:02.680000,2371.452,0 days 00:39:31.452000,,,,Bahrain GP 2023
0 days 00:43:03.886000,ALO,14,0 days 00:02:01.206000,6.0,2.0,nan,0 days 00:43:02.051000,0 days 00:00:33.967000,0 days 00:00:50.526000,0 days 00:00:36.713000,0 days 00:41:36.647000,0 days 00:42:27.173000,0 days 00:43:03.886000,185.0,146.0,,242.0,False,SOFT,6.0,False,Aston Martin,0 days 00:41:02.680000,2023-03-04 15:26:03.677,1,,False,nan,False,False,2023-03-04 15:26:03.677,2583.886,0 days 00:43:03.886000,121.206,0 days 00:02:01.206000,,,2582.051,0 days 00:43:02.051000,33.967,0 days 00:00:33.967000,50.526,0 days 00:00:50.526000,36.713,0 days 00:00:36.713000,2496.647,0 days 00:41:36.647000,2547.173,0 days 00:42:27.173000,2583.886,0 days 00:43:03.886000,2462.68,0 days 00:41:02.680000,0 days 00:43:02.051000,,,Bahrain GP 2023
0 days 00:53:01.642000,ALO,14,nan,7.0,3.0,0 days 00:50:50.074000,nan,nan,0 days 00:00:53.159000,0 days 00:00:36.242000,nan,0 days 00:52:25.400000,0 days 00:53:01.649000,151.0,103.0,286.0,141.0,False,SOFT,1.0,True,Aston Martin,0 days 00:43:03.886000,2023-03-04 15:28:04.883,1,,False,nan,False,False,2023-03-04 15:28:04.883,3181.642,0 days 00:53:01.642000,,,3050.074,0 days 00:50:50.074000,,,,,53.159,0 days 00:00:53.159000,36.242,0 days 00:00:36.242000,,,3145.4,0 days 00:52:25.400000,3181.649,0 days 00:53:01.649000,2583.886,0 days 00:43:03.886000,,0 days 00:50:50.074000,,Bahrain GP 2023
0 days 00:54:32.736000,ALO,14,0 days 00:01:31.094000,8.0,3.0,nan,nan,0 days 00:00:29.132000,0 days 00:00:39.075000,0 days 00:00:22.887000,0 days 00:53:30.774000,0 days 00:54:09.849000,0 days 00:54:32.736000,241.0,266.0,283.0,318.0,True,SOFT,2.0,True,Aston Martin,0 days 00:53:01.642000,2023-03-04 15:38:02.639,1,,False,nan,False,True,2023-03-04 15:38:02.639,3272.736,0 days 00:54:32.736000,91.094,0 days 00:01:31.094000,,,,,29.132,0 days 00:00:29.132000,39.075,0 days 00:00:39.075000,22.887,0 days 00:00:22.887000,3210.774,0 days 00:53:30.774000,3249.849,0 days 00:54:09.849000,3272.736,0 days 00:54:32.736000,3181.642,0 days 00:53:01.642000,,,,Bahrain GP 2023
0 days 00:56:32.644000,ALO,14,0 days 00:01:59.908000,9.0,3.0,nan,0 days 00:56:30.833000,0 days 00:00:37.615000,0 days 00:00:51.366000,0 days 00:00:30.927000,0 days 00:55:10.351000,0 days 00:56:01.717000,0 days 00:56:32.644000,179.0,192.0,,212.0,False,SOFT,3.0,True,Aston Martin,0 days 00:54:32.736000,2023-03-04 15:39:33.733,1,,False,nan,False,False,2023-03-04 15:39:33.733,3392.644,0 days 00:56:32.644000,119.908,0 days 00:01:59.908000,,,3390.833,0 days 00:56:30.833000,37.615,0 days 00:00:37.615000,51.366,0 days 00:00:51.366000,30.927,0 days 00:00:30.927000,3310.351,0 days 00:55:10.351000,3361.717,0 days 00:56:01.717000,3392.644,0 days 00:56:32.644000,3272.736,0 days 00:54:32.736000,0 days 00:56:30.833000,,,Bahrain GP 2023
0 days 01:01:56.399000,ALO,14,nan,10.0,4.0,0 days 00:59:46.845000,nan,nan,0 days 00:00:55.380000,0 days 00:00:30.033000,nan,0 days 01:01:26.375000,0 days 01:01:56.577000,188.0,186.0,287.0,141.0,False,SOFT,1.0,True,Aston Martin,0 days 00:56:32.644000,2023-03-04 15:41:33.641,1,,False,nan,False,False,2023-03-04 15:41:33.641,3716.399,0 days 01:01:56.399000,,,3586.845,0 days 00:59:46.845000,,,,,55.38,0 days 00:00:55.380000,30.033,0 days 00:00:30.033000,,,3686.375,0 days 01:01:26.375000,3716.577,0 days 01:01:56.577000,3392.644,0 days 00:56:32.644000,,0 days 00:59:46.845000,,Bahrain GP 2023
0 days 01:03:27.044000,ALO,14,0 days 00:01:30.645000,11.0,4.0,nan,nan,0 days 00:00:29.012000,0 days 00:00:38.987000,0 days 00:00:22.646000,0 days 01:02:25.411000,0 days 01:03:04.398000,0 days 01:03:27.044000,241.0,267.0,287.0,320.0,True,SOFT,2.0,True,Aston Martin,0 days 01:01:56.399000,2023-03-04 15:46:57.396,1,,False,nan,False,True,2023-03-04 15:46:57.396,3807.044,0 days 01:03:27.044000,90.645,0 days 00:01:30.645000,,,,,29.012,0 days 00:00:29.012000,38.987,0 days 00:00:38.987000,22.646,0 days 00:00:22.646000,3745.411,0 days 01:02:25.411000,3784.398,0 days 01:03:04.398000,3807.044,0 days 01:03:27.044000,3716.399,0 days 01:01:56.399000,,,,Bahrain GP 2023
0 days 01:05:34.393000,ALO,14,0 days 00:02:07.349000,12.0,4.0,nan,0 days 01:05:32.605000,0 days 00:00:40.070000,0 days 00:00:53.190000,0 days 00:00:34.089000,0 days 01:04:07.114000,0 days 01:05:00.304000,0 days 01:05:34.393000,172.0,180.0,,161.0,False,SOFT,3.0,True,Aston Martin,0 days 01:03:27.044000,2023-03-04 15:48:28.041,1,,False,nan,False,False,2023-03-04 15:48:28.041,3934.393,0 days 01:05:34.393000,127.349,0 days 00:02:07.349000,,,3932.605,0 days 01:05:32.605000,40.07,0 days 00:00:40.070000,53.19,0 days 00:00:53.190000,34.089,0 days 00:00:34.089000,3847.114,0 days 01:04:07.114000,3900.304,0 days 01:05:00.304000,3934.393,0 days 01:05:34.393000,3807.044,0 days 01:03:27.044000,0 days 01:05:32.605000,,,Bahrain GP 2023
0 days 01:18:20.776000,ALO,14,nan,13.0,5.0,0 days 01:16:27.983000,nan,nan,0 days 00:00:50.880000,0 days 00:00:26.077000,nan,0 days 01:17:54.701000,0 days 01:18:20.778000,201.0,183.0,286.0,163.0,False,SOFT,1.0,True,Aston Martin,0 days 01:05:34.393000,2023-03-04 15:50:35.390,1,,False,nan,False,False,2023-03-04 15:50:35.390,4700.776,0 days 01:18:20.776000,,,4587.983,0 days 01:16:27.983000,,,,,50.88,0 days 00:00:50.880000,26.077,0 days 00:00:26.077000,,,4674.701,0 days 01:17:54.701000,4700.778,0 days 01:18:20.778000,3934.393,0 days 01:05:34.393000,,0 days 01:16:27.983000,,Bahrain GP 2023
0 days 01:19:51.112000,ALO,14,0 days 00:01:30.336000,14.0,5.0,nan,nan,0 days 00:00:28.852000,0 days 00:00:38.774000,0 days 00:00:22.710000,0 days 01:18:49.628000,0 days 01:19:28.402000,0 days 01:19:51.112000,242.0,267.0,284.0,317.0,True,SOFT,2.0,True,Aston Martin,0 days 01:18:20.776000,2023-03-04 16:03:21.773,1,,False,nan,False,True,2023-03-04 16:03:21.773,4791.112,0 days 01:19:51.112000,90.336,0 days 00:01:30.336000,,,,,28.852,0 days 00:00:28.852000,38.774,0 days 00:00:38.774000,22.71,0 days 00:00:22.710000,4729.628,0 days 01:18:49.628000,4768.402,0 days 01:19:28.402000,4791.112,0 days 01:19:51.112000,4700.776,0 days 01:18:20.776000,,,,Bahrain GP 2023
0 days 01:21:58.291000,ALO,14,0 days 00:02:07.179000,15.0,5.0,nan,0 days 01:21:56.399000,0 days 00:00:37.376000,0 days 00:00:54.321000,0 days 00:00:35.482000,0 days 01:20:28.488000,0 days 01:21:22.809000,0 days 01:21:58.291000,193.0,163.0,,182.0,False,SOFT,3.0,True,Aston Martin,0 days 01:19:51.112000,2023-03-04 16:04:52.109,1,,False,nan,False,False,2023-03-04 16:04:52.109,4918.291,0 days 01:21:58.291000,127.179,0 days 00:02:07.179000,,,4916.399,0 days 01:21:56.399000,37.376,0 days 00:00:37.376000,54.321,0 days 00:00:54.321000,35.482,0 days 00:00:35.482000,4828.488,0 days 01:20:28.488000,4882.809,0 days 01:21:22.809000,4918.291,0 days 01:21:58.291000,4791.112,0 days 01:19:51.112000,0 days 01:21:56.399000,,,Bahrain GP 2023
0 days 00:30:14.112000,RUS,63,nan,1.0,1.0,0 days 00:28:04.130000,nan,nan,0 days 00:00:52.355000,0 days 00:00:38.303000,nan,0 days 00:29:35.847000,0 days 00:30:14.112000,209.0,191.0,288.0,160.0,False,SOFT,1.0,True,Mercedes,0 days 00:28:04.130000,2023-03-04 15:13:05.127,1,,False,nan,False,False,2023-03-04 15:13:05.127,1814.112,0 days 00:30:14.112000,,,1684.13,0 days 00:28:04.130000,,,,,52.355,0 days 00:00:52.355000,38.303,0 days 00:00:38.303000,,,1775.847,0 days 00:29:35.847000,1814.112,0 days 00:30:14.112000,1684.13,0 days 00:28:04.130000,,0 days 00:28:04.130000,,Bahrain GP 2023
0 days 00:31:45.169000,RUS,63,0 days 00:01:31.057000,2.0,1.0,nan,nan,0 days 00:00:28.967000,0 days 00:00:39.224000,0 days 00:00:22.866000,0 days 00:30:43.079000,0 days 00:31:22.303000,0 days 00:31:45.169000,242.0,271.0,289.0,320.0,True,SOFT,2.0,True,Mercedes,0 days 00:30:14.112000,2023-03-04 15:15:15.109,1,,False,nan,False,True,2023-03-04 15:15:15.109,1905.169,0 days 00:31:45.169000,91.057,0 days 00:01:31.057000,,,,,28.967,0 days 00:00:28.967000,39.224,0 days 00:00:39.224000,22.866,0 days 00:00:22.866000,1843.079,0 days 00:30:43.079000,1882.303,0 days 00:31:22.303000,1905.169,0 days 00:31:45.169000,1814.112,0 days 00:30:14.112000,,,,Bahrain GP 2023
0 days 00:33:47.494000,RUS,63,0 days 00:02:02.325000,3.0,1.0,nan,0 days 00:33:45.670000,0 days 00:00:39.425000,0 days 00:00:51.184000,0 days 00:00:31.716000,0 days 00:32:24.594000,0 days 00:33:15.778000,0 days 00:33:47.494000,157.0,172.0,,233.0,False,SOFT,3.0,True,Mercedes,0 days 00:31:45.169000,2023-03-04 15:16:46.166,1,,False,nan,False,False,2023-03-04 15:16:46.166,2027.494,0 days 00:33:47.494000,122.325,0 days 00:02:02.325000,,,2025.67,0 days 00:33:45.670000,39.425,0 days 00:00:39.425000,51.184,0 days 00:00:51.184000,31.716,0 days 00:00:31.716000,1944.594,0 days 00:32:24.594000,1995.778,0 days 00:33:15.778000,2027.494,0 days 00:33:47.494000,1905.169,0 days 00:31:45.169000,0 days 00:33:45.670000,,,Bahrain GP 2023
0 days 00:40:10.524000,RUS,63,nan,4.0,2.0,0 days 00:37:36.447000,nan,nan,0 days 00:01:04.987000,0 days 00:00:48.371000,nan,0 days 00:39:22.164000,0 days 00:40:10.710000,142.0,183.0,287.0,156.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:47.494000,2023-03-04 15:18:48.491,1,,False,nan,False,False,2023-03-04 15:18:48.491,2410.524,0 days 00:40:10.524000,,,2256.447,0 days 00:37:36.447000,,,,,64.987,0 days 00:01:04.987000,48.371,0 days 00:00:48.371000,,,2362.164,0 days 00:39:22.164000,2410.71,0 days 00:40:10.710000,2027.494,0 days 00:33:47.494000,,0 days 00:37:36.447000,,Bahrain GP 2023
0 days 00:41:42.242000,RUS,63,0 days 00:01:31.718000,5.0,2.0,nan,nan,0 days 00:00:29.295000,0 days 00:00:39.432000,0 days 00:00:22.991000,0 days 00:40:39.819000,0 days 00:41:19.251000,0 days 00:41:42.242000,241.0,271.0,287.0,318.0,False,SOFT,5.0,False,Mercedes,0 days 00:40:10.524000,2023-03-04 15:25:11.521,1,,False,nan,False,True,2023-03-04 15:25:11.521,2502.242,0 days 00:41:42.242000,91.718,0 days 00:01:31.718000,,,,,29.295,0 days 00:00:29.295000,39.432,0 days 00:00:39.432000,22.991,0 days 00:00:22.991000,2439.819,0 days 00:40:39.819000,2479.251,0 days 00:41:19.251000,2502.242,0 days 00:41:42.242000,2410.524,0 days 00:40:10.524000,,,,Bahrain GP 2023
0 days 00:43:36.364000,RUS,63,0 days 00:01:54.122000,6.0,2.0,nan,0 days 00:43:34.566000,0 days 00:00:35.019000,0 days 00:00:47.337000,0 days 00:00:31.766000,0 days 00:42:17.261000,0 days 00:43:04.598000,0 days 00:43:36.364000,202.0,171.0,,259.0,False,SOFT,6.0,False,Mercedes,0 days 00:41:42.242000,2023-03-04 15:26:43.239,1,,False,nan,False,False,2023-03-04 15:26:43.239,2616.364,0 days 00:43:36.364000,114.122,0 days 00:01:54.122000,,,2614.566,0 days 00:43:34.566000,35.019,0 days 00:00:35.019000,47.337,0 days 00:00:47.337000,31.766,0 days 00:00:31.766000,2537.261,0 days 00:42:17.261000,2584.598,0 days 00:43:04.598000,2616.364,0 days 00:43:36.364000,2502.242,0 days 00:41:42.242000,0 days 00:43:34.566000,,,Bahrain GP 2023
0 days 00:53:18.822000,RUS,63,nan,7.0,3.0,0 days 00:51:08.245000,nan,nan,0 days 00:01:01.133000,0 days 00:00:31.660000,nan,0 days 00:52:47.228000,0 days 00:53:18.852000,163.0,134.0,287.0,183.0,False,SOFT,1.0,True,Mercedes,0 days 00:43:36.364000,2023-03-04 15:28:37.361,1,,False,nan,False,False,2023-03-04 15:28:37.361,3198.822,0 days 00:53:18.822000,,,3068.245,0 days 00:51:08.245000,,,,,61.133,0 days 00:01:01.133000,31.66,0 days 00:00:31.660000,,,3167.228,0 days 00:52:47.228000,3198.852,0 days 00:53:18.852000,2616.364,0 days 00:43:36.364000,,0 days 00:51:08.245000,,Bahrain GP 2023
0 days 00:54:49.908000,RUS,63,0 days 00:01:31.086000,8.0,3.0,nan,nan,0 days 00:00:29.075000,0 days 00:00:39.208000,0 days 00:00:22.803000,0 days 00:53:47.897000,0 days 00:54:27.105000,0 days 00:54:49.908000,243.0,270.0,289.0,319.0,True,SOFT,2.0,True,Mercedes,0 days 00:53:18.822000,2023-03-04 15:38:19.819,1,,False,nan,False,True,2023-03-04 15:38:19.819,3289.908,0 days 00:54:49.908000,91.086,0 days 00:01:31.086000,,,,,29.075,0 days 00:00:29.075000,39.208,0 days 00:00:39.208000,22.803,0 days 00:00:22.803000,3227.897,0 days 00:53:47.897000,3267.105,0 days 00:54:27.105000,3289.908,0 days 00:54:49.908000,3198.822,0 days 00:53:18.822000,,,,Bahrain GP 2023
0 days 00:56:52.679000,RUS,63,0 days 00:02:02.771000,9.0,3.0,nan,0 days 00:56:50.864000,0 days 00:00:37.629000,0 days 00:00:53.200000,0 days 00:00:31.942000,0 days 00:55:27.537000,0 days 00:56:20.737000,0 days 00:56:52.679000,172.0,169.0,,248.0,False,SOFT,3.0,True,Mercedes,0 days 00:54:49.908000,2023-03-04 15:39:50.905,1,,False,nan,False,False,2023-03-04 15:39:50.905,3412.679,0 days 00:56:52.679000,122.771,0 days 00:02:02.771000,,,3410.864,0 days 00:56:50.864000,37.629,0 days 00:00:37.629000,53.2,0 days 00:00:53.200000,31.942,0 days 00:00:31.942000,3327.537,0 days 00:55:27.537000,3380.737,0 days 00:56:20.737000,3412.679,0 days 00:56:52.679000,3289.908,0 days 00:54:49.908000,0 days 00:56:50.864000,,,Bahrain GP 2023
0 days 01:02:25.452000,RUS,63,nan,10.0,4.0,0 days 01:00:30.766000,nan,nan,0 days 00:00:50.981000,0 days 00:00:27.703000,nan,0 days 01:01:57.749000,0 days 01:02:25.655000,184.0,179.0,289.0,180.0,False,SOFT,1.0,True,Mercedes,0 days 00:56:52.679000,2023-03-04 15:41:53.676,1,,False,nan,False,False,2023-03-04 15:41:53.676,3745.452,0 days 01:02:25.452000,,,3630.766,0 days 01:00:30.766000,,,,,50.981,0 days 00:00:50.981000,27.703,0 days 00:00:27.703000,,,3717.749,0 days 01:01:57.749000,3745.655,0 days 01:02:25.655000,3412.679,0 days 00:56:52.679000,,0 days 01:00:30.766000,,Bahrain GP 2023
0 days 01:03:55.959000,RUS,63,0 days 00:01:30.507000,11.0,4.0,nan,nan,0 days 00:00:28.845000,0 days 00:00:39.046000,0 days 00:00:22.616000,0 days 01:02:54.297000,0 days 01:03:33.343000,0 days 01:03:55.959000,243.0,270.0,290.0,320.0,True,SOFT,2.0,True,Mercedes,0 days 01:02:25.452000,2023-03-04 15:47:26.449,1,,False,nan,False,True,2023-03-04 15:47:26.449,3835.959,0 days 01:03:55.959000,90.507,0 days 00:01:30.507000,,,,,28.845,0 days 00:00:28.845000,39.046,0 days 00:00:39.046000,22.616,0 days 00:00:22.616000,3774.297,0 days 01:02:54.297000,3813.343,0 days 01:03:33.343000,3835.959,0 days 01:03:55.959000,3745.452,0 days 01:02:25.452000,,,,Bahrain GP 2023
0 days 01:06:00.105000,RUS,63,0 days 00:02:04.146000,12.0,4.0,nan,0 days 01:05:58.323000,0 days 00:00:39.947000,0 days 00:00:51.438000,0 days 00:00:32.761000,0 days 01:04:35.906000,0 days 01:05:27.344000,0 days 01:06:00.105000,161.0,168.0,,201.0,False,SOFT,3.0,True,Mercedes,0 days 01:03:55.959000,2023-03-04 15:48:56.956,1,,False,nan,False,False,2023-03-04 15:48:56.956,3960.105,0 days 01:06:00.105000,124.146,0 days 00:02:04.146000,,,3958.323,0 days 01:05:58.323000,39.947,0 days 00:00:39.947000,51.438,0 days 00:00:51.438000,32.761,0 days 00:00:32.761000,3875.906,0 days 01:04:35.906000,3927.344,0 days 01:05:27.344000,3960.105,0 days 01:06:00.105000,3835.959,0 days 01:03:55.959000,0 days 01:05:58.323000,,,Bahrain GP 2023
0 days 01:18:49.393000,RUS,63,nan,13.0,5.0,0 days 01:16:54.717000,nan,nan,0 days 00:00:52.295000,0 days 00:00:26.318000,nan,0 days 01:18:23.075000,0 days 01:18:49.575000,175.0,192.0,288.0,171.0,False,SOFT,1.0,True,Mercedes,0 days 01:06:00.105000,2023-03-04 15:51:01.102,1,,False,nan,False,False,2023-03-04 15:51:01.102,4729.393,0 days 01:18:49.393000,,,4614.717,0 days 01:16:54.717000,,,,,52.295,0 days 00:00:52.295000,26.318,0 days 00:00:26.318000,,,4703.075,0 days 01:18:23.075000,4729.575,0 days 01:18:49.575000,3960.105,0 days 01:06:00.105000,,0 days 01:16:54.717000,,Bahrain GP 2023
0 days 01:20:19.733000,RUS,63,0 days 00:01:30.340000,14.0,5.0,nan,nan,0 days 00:00:28.911000,0 days 00:00:38.870000,0 days 00:00:22.559000,0 days 01:19:18.304000,0 days 01:19:57.174000,0 days 01:20:19.733000,244.0,270.0,288.0,317.0,True,SOFT,2.0,True,Mercedes,0 days 01:18:49.393000,2023-03-04 16:03:50.390,1,,False,nan,False,True,2023-03-04 16:03:50.390,4819.733,0 days 01:20:19.733000,90.34,0 days 00:01:30.340000,,,,,28.911,0 days 00:00:28.911000,38.87,0 days 00:00:38.870000,22.559,0 days 00:00:22.559000,4758.304,0 days 01:19:18.304000,4797.174,0 days 01:19:57.174000,4819.733,0 days 01:20:19.733000,4729.393,0 days 01:18:49.393000,,,,Bahrain GP 2023
0 days 01:22:27.250000,RUS,63,0 days 00:02:07.517000,15.0,5.0,nan,0 days 01:22:24.993000,0 days 00:00:42.455000,0 days 00:00:50.405000,0 days 00:00:34.657000,0 days 01:21:02.188000,0 days 01:21:52.593000,0 days 01:22:27.250000,155.0,174.0,,148.0,False,SOFT,3.0,True,Mercedes,0 days 01:20:19.733000,2023-03-04 16:05:20.730,1,,False,nan,False,False,2023-03-04 16:05:20.730,4947.25,0 days 01:22:27.250000,127.517,0 days 00:02:07.517000,,,4944.993,0 days 01:22:24.993000,42.455,0 days 00:00:42.455000,50.405,0 days 00:00:50.405000,34.657,0 days 00:00:34.657000,4862.188,0 days 01:21:02.188000,4912.593,0 days 01:21:52.593000,4947.25,0 days 01:22:27.250000,4819.733,0 days 01:20:19.733000,0 days 01:22:24.993000,,,Bahrain GP 2023
0 days 00:30:18.693000,HAM,44,nan,1.0,1.0,0 days 00:28:09.334000,nan,nan,0 days 00:00:53.124000,0 days 00:00:33.139000,nan,0 days 00:29:45.581000,0 days 00:30:18.705000,160.0,162.0,289.0,147.0,False,SOFT,1.0,True,Mercedes,0 days 00:28:09.334000,2023-03-04 15:13:10.331,1,,False,nan,False,False,2023-03-04 15:13:10.331,1818.693,0 days 00:30:18.693000,,,1689.334,0 days 00:28:09.334000,,,,,53.124,0 days 00:00:53.124000,33.139,0 days 00:00:33.139000,,,1785.581,0 days 00:29:45.581000,1818.705,0 days 00:30:18.705000,1689.334,0 days 00:28:09.334000,,0 days 00:28:09.334000,,Bahrain GP 2023
0 days 00:31:50.236000,HAM,44,0 days 00:01:31.543000,2.0,1.0,nan,nan,0 days 00:00:29.062000,0 days 00:00:39.442000,0 days 00:00:23.039000,0 days 00:30:47.755000,0 days 00:31:27.197000,0 days 00:31:50.236000,244.0,271.0,286.0,321.0,True,SOFT,2.0,True,Mercedes,0 days 00:30:18.693000,2023-03-04 15:15:19.690,1,,False,nan,False,True,2023-03-04 15:15:19.690,1910.236,0 days 00:31:50.236000,91.543,0 days 00:01:31.543000,,,,,29.062,0 days 00:00:29.062000,39.442,0 days 00:00:39.442000,23.039,0 days 00:00:23.039000,1847.755,0 days 00:30:47.755000,1887.197,0 days 00:31:27.197000,1910.236,0 days 00:31:50.236000,1818.693,0 days 00:30:18.693000,,,,Bahrain GP 2023
0 days 00:33:50.077000,HAM,44,0 days 00:01:59.841000,3.0,1.0,nan,0 days 00:33:48.248000,0 days 00:00:36.811000,0 days 00:00:52.194000,0 days 00:00:30.836000,0 days 00:32:27.047000,0 days 00:33:19.241000,0 days 00:33:50.077000,168.0,197.0,,227.0,False,SOFT,3.0,True,Mercedes,0 days 00:31:50.236000,2023-03-04 15:16:51.233,1,,False,nan,False,False,2023-03-04 15:16:51.233,2030.077,0 days 00:33:50.077000,119.841,0 days 00:01:59.841000,,,2028.248,0 days 00:33:48.248000,36.811,0 days 00:00:36.811000,52.194,0 days 00:00:52.194000,30.836,0 days 00:00:30.836000,1947.047,0 days 00:32:27.047000,1999.241,0 days 00:33:19.241000,2030.077,0 days 00:33:50.077000,1910.236,0 days 00:31:50.236000,0 days 00:33:48.248000,,,Bahrain GP 2023
0 days 00:40:14.755000,HAM,44,nan,4.0,2.0,0 days 00:37:38.963000,nan,nan,0 days 00:01:01.262000,0 days 00:00:51.358000,nan,0 days 00:39:23.445000,0 days 00:40:14.945000,137.0,102.0,290.0,144.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:50.077000,2023-03-04 15:18:51.074,1,,False,nan,False,False,2023-03-04 15:18:51.074,2414.755,0 days 00:40:14.755000,,,2258.963,0 days 00:37:38.963000,,,,,61.262,0 days 00:01:01.262000,51.358,0 days 00:00:51.358000,,,2363.445,0 days 00:39:23.445000,2414.945,0 days 00:40:14.945000,2030.077,0 days 00:33:50.077000,,0 days 00:37:38.963000,,Bahrain GP 2023
0 days 00:41:46.409000,HAM,44,0 days 00:01:31.654000,5.0,2.0,nan,nan,0 days 00:00:29.194000,0 days 00:00:39.479000,0 days 00:00:22.981000,0 days 00:40:43.949000,0 days 00:41:23.428000,0 days 00:41:46.409000,242.0,271.0,289.0,324.0,False,SOFT,5.0,False,Mercedes,0 days 00:40:14.755000,2023-03-04 15:25:15.752,1,,False,nan,False,True,2023-03-04 15:25:15.752,2506.409,0 days 00:41:46.409000,91.654,0 days 00:01:31.654000,,,,,29.194,0 days 00:00:29.194000,39.479,0 days 00:00:39.479000,22.981,0 days 00:00:22.981000,2443.949,0 days 00:40:43.949000,2483.428,0 days 00:41:23.428000,2506.409,0 days 00:41:46.409000,2414.755,0 days 00:40:14.755000,,,,Bahrain GP 2023
0 days 00:43:38.937000,HAM,44,0 days 00:01:52.528000,6.0,2.0,nan,0 days 00:43:37.128000,0 days 00:00:32.294000,0 days 00:00:48.820000,0 days 00:00:31.414000,0 days 00:42:18.703000,0 days 00:43:07.523000,0 days 00:43:38.937000,187.0,200.0,,285.0,False,SOFT,6.0,False,Mercedes,0 days 00:41:46.409000,2023-03-04 15:26:47.406,1,,False,nan,False,False,2023-03-04 15:26:47.406,2618.937,0 days 00:43:38.937000,112.528,0 days 00:01:52.528000,,,2617.128,0 days 00:43:37.128000,32.294,0 days 00:00:32.294000,48.82,0 days 00:00:48.820000,31.414,0 days 00:00:31.414000,2538.703,0 days 00:42:18.703000,2587.523,0 days 00:43:07.523000,2618.937,0 days 00:43:38.937000,2506.409,0 days 00:41:46.409000,0 days 00:43:37.128000,,,Bahrain GP 2023
0 days 00:53:22.306000,HAM,44,nan,7.0,3.0,0 days 00:51:12.433000,nan,nan,0 days 00:00:56.329000,0 days 00:00:33.391000,nan,0 days 00:52:48.915000,0 days 00:53:22.321000,183.0,189.0,290.0,144.0,False,SOFT,1.0,True,Mercedes,0 days 00:43:38.937000,2023-03-04 15:28:39.934,1,,False,nan,False,False,2023-03-04 15:28:39.934,3202.306,0 days 00:53:22.306000,,,3072.433,0 days 00:51:12.433000,,,,,56.329,0 days 00:00:56.329000,33.391,0 days 00:00:33.391000,,,3168.915,0 days 00:52:48.915000,3202.321,0 days 00:53:22.321000,2618.937,0 days 00:43:38.937000,,0 days 00:51:12.433000,,Bahrain GP 2023
0 days 00:54:53.207000,HAM,44,0 days 00:01:30.901000,8.0,3.0,nan,nan,0 days 00:00:28.940000,0 days 00:00:39.166000,0 days 00:00:22.795000,0 days 00:53:51.246000,0 days 00:54:30.412000,0 days 00:54:53.207000,242.0,271.0,289.0,322.0,True,SOFT,2.0,True,Mercedes,0 days 00:53:22.306000,2023-03-04 15:38:23.303,1,,False,nan,False,True,2023-03-04 15:38:23.303,3293.207,0 days 00:54:53.207000,90.901,0 days 00:01:30.901000,,,,,28.94,0 days 00:00:28.940000,39.166,0 days 00:00:39.166000,22.795,0 days 00:00:22.795000,3231.246,0 days 00:53:51.246000,3270.412,0 days 00:54:30.412000,3293.207,0 days 00:54:53.207000,3202.306,0 days 00:53:22.306000,,,,Bahrain GP 2023
