driver,grand_prix,sector1sessiontime,laptime,laptime_s,sector1time_s,sector2time_s,sector3time_s
SAR,Bahrain GP 2023,0 days 00:42:10.573000,0 days 00:02:05.409000,125.409,38.206,55.118,32.085
MAG,Bahrain GP 2023,nan,nan,,,49.064,35.561
MAG,Bahrain GP 2023,0 days 00:29:37.917000,0 days 00:01:32.070000,92.07,29.414,39.561,23.095
MAG,Bahrain GP 2023,0 days 00:31:23.977000,0 days 00:01:58.466000,118.466,43.404,44.688,30.374
MAG,Bahrain GP 2023,nan,nan,,,53.516,33.491
MAG,Bahrain GP 2023,0 days 00:39:17.626000,0 days 00:01:31.892000,91.892,29.428,39.369,23.095
MAG,Bahrain GP 2023,0 days 00:40:54.061000,0 days 00:01:49.426000,109.426,33.971,46.898,28.557
PIA,Bahrain GP 2023,nan,nan,,,,
PIA,Bahrain GP 2023,nan,nan,,,48.696,38.067
PIA,Bahrain GP 2023,0 days 00:30:59.948000,0 days 00:01:32.633000,92.633,29.815,39.653,23.165
PIA,Bahrain GP 2023,0 days 00:32:38.165000,0 days 00:01:54.005000,114.005,35.399,49.023,29.583
PIA,Bahrain GP 2023,nan,nan,,,51.086,49.679
PIA,Bahrain GP 2023,0 days 00:40:07.739000,0 days 00:01:32.101000,92.101,29.561,39.454,23.086
PIA,Bahrain GP 2023,0 days 00:41:48.593000,0 days 00:02:02.126000,122.126,38.314,49.786,34.026
DEV,Bahrain GP 2023,nan,nan,,,55.481,25.847
DEV,Bahrain GP 2023,0 days 00:17:36.578000,0 days 00:01:32.849000,92.849,29.558,40.17,23.121
DEV,Bahrain GP 2023,0 days 00:19:12.655000,nan,,32.668,,
DEV,Bahrain GP 2023,nan,nan,,,56.366,27.614
DEV,Bahrain GP 2023,0 days 00:30:23.890000,0 days 00:01:32.121000,92.121,29.382,39.634,23.105
DEV,Bahrain GP 2023,0 days 00:32:00.524000,0 days 00:01:48.764000,108.764,33.895,45.174,29.695
DEV,Bahrain GP 2023,nan,nan,,,52.598,36.042
DEV,Bahrain GP 2023,0 days 00:39:21.780000,0 days 00:01:32.279000,92.279,29.514,39.699,23.066
DEV,Bahrain GP 2023,0 days 00:41:03.912000,0 days 00:02:00.610000,120.61,39.367,50.144,31.099
GAS,Bahrain GP 2023,nan,nan,,,52.69,34.617
GAS,Bahrain GP 2023,0 days 00:31:11.018000,0 days 00:01:32.181000,92.181,29.33,39.764,23.087
GAS,Bahrain GP 2023,0 days 00:32:47.327000,0 days 00:01:52.506000,112.506,33.458,47.084,31.964
GAS,Bahrain GP 2023,nan,nan,,,54.291,45.228
GAS,Bahrain GP 2023,0 days 00:39:44.711000,0 days 00:01:31.818000,91.818,29.247,39.412,23.159
GAS,Bahrain GP 2023,0 days 00:41:24.233000,0 days 00:01:54.566000,114.566,36.951,45.775,31.84
